Date,Open,High,Low,Close,Volume,OpenInterest,sma
2019-06-10,1822.0,1884.87,1818.0,1860.63,4968998,0.0,1853.6336640000006
2019-06-11,1883.25,1893.7,1858.0,1863.7,3629018,0.0,1855.2858640000006
2019-06-12,1853.98,1865.0,1844.38,1855.3,2450925,0.0,1856.1046640000006
2019-06-13,1866.72,1883.09,1862.22,1870.7479999999998,4993238,0.0,1857.2396240000007
2019-06-14,1864.92,1876.0,1859.0,1870.17,4923087,0.0,1858.2348240000006
2019-06-17,1876.5,1895.6879999999999,1875.45,1886.0,2397289,0.0,1859.5646240000008
2019-06-18,1901.35,1921.67,1899.79,1902.15,3523736,0.0,1860.8546240000007
2019-06-19,1907.84,1919.5807,1892.6223,1909.03,2565954,0.0,1862.0416440000006
2019-06-20,1933.33,1935.2,1905.8,1917.95,2858789,0.0,1863.6702440000006
2019-06-21,1912.5,1925.95,1907.58,1911.1,3243263,0.0,1864.9456440000006
2019-06-24,1912.66,1916.86,1901.3,1913.96,1931200,0.0,1866.3348440000007
2019-06-25,1911.84,1916.385,1872.42,1878.64,2712393,0.0,1867.0484440000007
2019-06-26,1892.91,1903.8,1887.32,1897.75,2011515,0.0,1868.1064440000005
2019-06-27,1902.0,1911.24,1898.04,1903.67,1923521,0.0,1868.9214440000005
2019-06-28,1912.8,1912.8,1884.0,1889.83,2263386,0.0,1869.4216440000005
2019-07-01,1922.98,1929.82,1914.66,1922.26,2917672,0.0,1870.6388440000003
2019-07-02,1919.38,1934.79,1906.63,1934.79,2407604,0.0,1871.5738440000005
2019-07-03,1935.89,1941.59,1930.5,1939.0,1475704,0.0,1871.8704440000004
2019-07-05,1928.6,1945.9,1925.3,1943.1,2418081,0.0,1872.7148440000005
2019-07-08,1934.12,1956.0,1928.2532,1952.33,2593566,0.0,1873.7182440000004
2019-07-09,1947.88,1990.01,1943.475,1987.35,3966987,0.0,1874.4472440000006
2019-07-10,1996.51,2024.94,1995.4,2017.77,4251674,0.0,1876.0226440000008
2019-07-11,2025.62,2035.8,1995.3,2001.07,3957307,0.0,1877.5134440000008
2019-07-12,2008.27,2017.0,2003.87,2010.02,2245391,0.0,1879.488044000001
2019-07-15,2021.4,2022.9,2001.55,2021.0,2598695,0.0,1881.8736440000011
2019-07-16,2010.58,2026.3196,2001.22,2010.0,2356968,0.0,1882.8384440000011
2019-07-17,2007.05,2012.0,1992.12,1992.16,2257978,0.0,1883.6758440000015
2019-07-18,1980.01,1987.5,1951.55,1978.67,3163219,0.0,1884.7976440000014
2019-07-19,1991.02,1996.0,1962.2255,1965.0,2898302,0.0,1885.760644000001
2019-07-22,1971.14,1989.0,1958.26,1985.92,2530220,0.0,1887.4788440000013
2019-07-23,1995.99,1997.79,1973.13,1994.47,2290567,0.0,1889.5686440000013
2019-07-24,1969.3,2001.2,1965.87,2001.04,2306251,0.0,1893.1370440000014
2019-07-25,2001.0,2001.2,1972.72,1975.02,2871851,0.0,1895.8364440000014
2019-07-26,1942.0,1950.895,1924.51,1943.05,4535583,0.0,1897.2750440000016
2019-07-29,1930.0,1932.226,1890.54,1912.87,4045615,0.0,1897.3752440000014
2019-07-30,1891.98,1909.89,1883.48,1899.22,2709016,0.0,1897.9998440000013
2019-07-31,1898.11,1899.55,1849.44,1866.39,4056598,0.0,1898.1668440000014
2019-08-01,1872.35,1897.92,1844.01,1855.33,4414986,0.0,1898.1112440000015
2019-08-02,1845.07,1846.3634,1808.02,1823.52,3785509,0.0,1897.3931440000015
2019-08-05,1771.26,1788.6678,1748.78,1765.13,5334410,0.0,1896.3823440000017
2019-08-06,1791.0,1793.77,1753.4,1787.44,4598728,0.0,1895.6651440000016
2019-08-07,1773.99,1798.93,1757.0,1793.39,4044619,0.0,1894.8017440000017
2019-08-08,1806.0,1834.26,1798.11,1834.26,3268663,0.0,1895.0829440000016
2019-08-09,1826.0,1831.0910000000001,1802.22,1807.88,2525548,0.0,1894.9243440000018
2019-08-12,1795.99,1800.98,1777.0,1784.75,2510579,0.0,1895.1179440000017
2019-08-13,1781.04,1831.7429,1780.0,1824.29,3656625,0.0,1897.7485440000016
2019-08-14,1793.01,1795.6514,1757.215,1762.96,4353369,0.0,1898.404144000002
2019-08-15,1781.99,1788.0,1761.96,1775.41,3427389,0.0,1899.122744000002
2019-08-16,1792.89,1802.9082,1784.5496,1791.8,2767735,0.0,1899.866160000002
2019-08-19,1818.08,1826.0,1812.61,1816.83,2483931,0.0,1900.1223600000021
2019-08-20,1814.5,1816.82,1799.88,1801.35,1677671,0.0,1898.936760000002
2019-08-21,1818.9389999999999,1829.5785,1815.0,1823.38,1736377,0.0,1898.1303600000022
2019-08-22,1827.35,1829.4111,1800.1,1804.25,2284144,0.0,1897.1093600000022
2019-08-23,1793.03,1804.8962,1745.23,1750.77,4622453,0.0,1894.7098000000021
2019-08-26,1767.5,1770.0,1743.51,1770.0,2669759,0.0,1892.706400000002
2019-08-27,1775.73,1779.4,1746.68,1761.92,2491245,0.0,1890.2248000000022
2019-08-28,1755.0,1767.86,1744.0505,1764.0,2220361,0.0,1887.4618000000023
2019-08-29,1783.0,1798.55,1777.25,1786.46,2683039,0.0,1885.0104000000024
2019-08-30,1797.49,1799.74,1764.57,1776.19,2577738,0.0,1882.1752000000024
2019-09-03,1770.0,1800.8,1768.0,1789.51,3164026,0.0,1879.7434000000023
2019-09-04,1805.0,1807.6309,1796.23,1800.46,2144301,0.0,1877.4734000000024
2019-09-05,1821.84,1842.0,1815.575,1840.73,2970700,0.0,1876.7152000000021
2019-09-06,1838.22,1840.65,1826.4,1833.51,2157266,0.0,1875.430400000002
2019-09-09,1841.0,1850.0,1824.61,1831.29,2593889,0.0,1873.982800000002
2019-09-10,1822.75,1825.81,1805.3356,1821.31,2202645,0.0,1872.612400000002
2019-09-11,1811.97,1833.42,1809.08,1822.49,2005996,0.0,1870.6170000000022
2019-09-12,1838.1,1853.66,1834.28,1843.0,2539651,0.0,1868.7812000000022
2019-09-13,1842.01,1846.1215,1835.17,1839.34,1645917,0.0,1866.7880000000023
2019-09-16,1824.02,1825.6941,1800.2,1808.23,3214425,0.0,1864.090600000002
2019-09-17,1807.2,1823.99,1804.1,1822.62,1767317,0.0,1861.4964000000018
2019-09-18,1818.24,1822.06,1795.5,1817.59,2180886,0.0,1858.1012000000017
2019-09-19,1821.06,1832.57,1817.9,1821.54,1807528,0.0,1854.1766000000016
2019-09-20,1821.71,1830.63,1780.92,1794.89,4714413,0.0,1850.0530000000012
2019-09-23,1775.82,1792.7,1767.32,1784.29,2393600,0.0,1845.538400000001
2019-09-24,1790.605,1795.705,1735.545,1742.34,4183918,0.0,1839.965200000001
2019-09-25,1744.6721,1773.0,1723.0,1768.08,3019183,0.0,1835.1268000000011
2019-09-26,1762.79,1763.37,1731.5,1740.12,3136278,0.0,1830.086000000001
2019-09-27,1747.8,1749.12,1713.82,1725.85,3613379,0.0,1825.029600000001
2019-09-30,1726.99,1737.46,1709.22,1736.12,2300015,0.0,1820.452000000001
2019-10-01,1746.0,1755.6,1728.41,1736.11,2690124,0.0,1815.455800000001
2019-10-02,1727.74,1728.89,1705.0,1713.23,2941345,0.0,1809.831000000001
2019-10-03,1713.0,1725.0,1685.06,1724.25,3167831,0.0,1804.2952000000012
2019-10-04,1726.06,1740.575,1719.23,1739.4,4348820,0.0,1799.5828000000008
2019-10-07,1731.63,1747.83,1723.7,1732.5,3684964,0.0,1795.3718000000008
2019-10-08,1722.49,1727.0,1705.0,1705.25,4559696,0.0,1791.2194000000009
2019-10-09,1719.61,1729.95,1714.36,1721.79,3594275,0.0,1787.6708000000008
